wrong,correct,,
andor,and our,r,0
andyor,and your,r,0
controled,controlled,d,0
smaler,smaller,r,0
intelect,intellect,,
colege,college,e,0
cels,cells,s,0
colect,collect,,
chalenge,challenge,e,0
cerebelum,cerebellum,m,0
colaborat,collaborat,,
ilustrat,illustrat,,
skil,skill,l,0
overal,overall,l,0
fited,fitted,d,0
alosteric,allosteric,c,0
faler,faller,r,0
faled,falled,d,0
coleague,colleague,e,0
speling,spelling,g,0
dweling,dwelling,g,0
mili,milli,i,0
torticolis,torticollis,s,0
oscila,oscilla,a,0
ulevaal,ullevaal,l,0
finaly,finally,y,0
typicaly,typically,y,0
usualy,usually,y,0
socialy,socially,y,0
idealy,ideally,y,0
carefuly,carefully,y,0
puley,pulley,y,0
clinicaly,clinically,y,0
statisticaly,statistically,y,0
verbaly,verbally,y,0
realy,really,y,0
differentialy,differentially,y,0
linguisticaly,linguistically,y,0
spatialy,spatially,y,0
jewelery,jewellery,y,0
crystaloid,crystalloid,d,0
evidense,evidence,e,0
abcsense,absence,e,0
persistense,persistence,e,0
dependense,dependence,e,0
divergense,divergence,e,0
continense,continence,e,0
ambivalense,ambivalence,e,0
coherense,coherence,e,0
convergense,convergence,e,0
presense,presence,e,0
valense,valence,e,0
intelegense,intelegence,e,0
ofense,offence,e,0
offense,offence,e,0
diverce,diverse,e,0
resiliense,resilience,e,0
incongruense,incongruence,e,0
prominense,prominence,e,0
fluorescense,fluorescence,e,0
classificationof,classification of,f,0
incontinense,incontinence,e,0
definedas,defined as,s,0
efficacyof,efficacy of,f,0
fluense,fluence,e,0
influenseof,influence of,f,0
influenceof,influence of,f,0
influenseon,influence on,n,0
influenceon,influence on,n,0
influenseson,influences on,n,0
influenceson,influences on,n,0
influensethe,influence the,e,0
influencethe,influence the,e,0
influensedthe,influenced the,e,0
influencedthe,influenced the,e,0
erobic,aerobic,c,0
 des , does , ,0
sevirity,severity,y,0
exercize,exercise,e,0
surprize,surprise,e,0
sentense,sentence,e,0
adherense,adherence,e,0
findingsof,findings of,f,0
benefitsof,benefits of,f,0
sequense,sequence,e,0
differense,difference,e,0
di_erense,difference,e,0
sciense,science,e,0
devize,devise,e,0
comprize,comprise,e,0
compromize,compromise,e,0
devise,device,e,0
identificationof,identification of,f,0
cadense,cadence,e,0
continense,continence,e,0
findingsfrom,findings from,m,0
difficultto,difficult to , ,0
correspondense,correspondence,e,0
consequense,consequence,e,0
computerinterface,computer interface,e,0
fieldof,field of,f,0
identifiedby,identified by,y,0
identifiedin,identified in,n,0
difficultiesin,difficulties in,n,0
influensedby,influenced by,y,0
influencedby,influenced by,y,0
influense,influence,e,0
definitionof,definition of,f,0
benefitfrom,benefit from,m,0
specificto,specific to , ,0
neurosciense,neuroscience,e,0
advized,advised,d,0
confidense,confidence,e,0
confidensein,confidence in,n,0
confidencein,confidence in,n,0
confidenseand,confidence and,d,0
confidenceand,confidence and,d,0
perceptionsof,perceptions of,f,0
violense,violence,e,0
sensor_imotor,sensori_motor,r,0
definedby,defined by,y,0
benefitof,benefit of,f,0
classifiedas,classified as,s,0
classificationof,classification of,f,0
reflectthe,reflect the,e,0
abilityto ,ability to , ,0
erobic,aerobic,c,0
significanceof,significance of,f,0
incobotulinum_toxina,inco_botulinum_toxin_a,a,0
onabotulinum_toxina,ona_botulinum_toxin_a,a,0
referense,reference,e,0
journalof,journal of,f,0
findingsin,findings in,n,0
cognitimprovement,cognit_improvement,,
reflectedin,reflected in,n,0
modifiedashworth,modified ashworth,h,0
modifiedashworth_scale,modified_ashworth_scale,e,0
difficultyin,difficulty in,n,0
signi_,signifi,i,0
conveniense,convenience,e,0
findingthat,finding that,,
experiense,experience,e,0
experienseof,experience of,f,0
experienceof,experience of,f,0
wize,wise,e,0
profileof,profile of,f,0
computerinterfaces,computer interfaces,s,0
brain_computerinterfaces,brain_computer_interfaces,s,0
panelists,panellists,s,0
sorce,source,e,0
competense,competence,e,0
identifiedthat,identified that,,
languagepathology,language pathology,y,0
speech_languagepathology,speech_language_pathology,y,0
languagepathologists,language pathologists,s,0
speech_languagepathologists,language pathologists,s,0
languagetherapists,speech_language_therapists,s,0
speech_languagetherapists,speech_language_therapists,s,0
difficultieswith,difficulties_with,h,0
interferense,interference,e,0
deficitsin,deficits in,n,0
reflectsthe,reflects the,e,0
supportedtreadmill,supported treadmill,l,0
body_weight_supportedtreadmill_training,body_weight_supported_treadmill_training,g,0
car_dior_espiratory,cardio_respiratory,y,0
therapys,therapy,y,0
electrencephalo,electroencephalo,o,0
firsttime,first time,e,0
confirmedby,confirmed by,y,0
videofluoroscopy,video fluoroscopy,y,0
didn,did not,,
couldn,could not,,
identifiedand,identified and,d,0
definitionsof,definitions of,f,0
satisfiedwith,satisfied with,h,0
sdisease,disease,e,0
experiense,experience,e,0
experiensesof,experiences of,f,0
experiencesof,experiences of,f,0
deficitin,deficit in,n,0
efficiencyof,efficiency of,f,0
specificityof,specificity of,f,0
noninvasive,non invasive,e,0
difficultywith,difficulty with,h,0
 sability, ability,y,0
prevalense,prevalence,e,0
sexact,exact,,
exacttest,exact test,,
identifiedthe,identified the,e,0
difficultyof,difficulty of,f,0
efficacyand,efficacy and,d,0
findingsand,findings and,d,0
deficitsand,deficits and,d,0
inducedmovement,induced movement,,
useof,use of,f,0
researchwhich,research which,h,0
thoroughpeer,thorough peer,r,0
nospace,no space,e,0
resorce,resource,e,0
resourse,resource,e,0
resorse,resource,e,0
perceptionof,perception of,f,0
tothe,to the,e,0
ratherthan,rather than,n,0
confirmedthat,confirmed that,,
effectivenessof,effectiveness of,f,0
qualityof,quality of,f,0
definethe,define the,e,0
findthe,find the,e,0
weprovide,we provide,e,0
identifieda,identified a,a,0
weaccept,we accept,,
signiwcant,significant,,
pfurtscheler,pfurtscheller,r,0
speci_c,specific,c,0
appraize,appraise,e,0
raize,raise,e,0
reflectingthe,reflecting the,e,0
cefficient,coefficient,,
nonuse,non use,e,0
zection,section,n,0
lackof,lack of,f,0
modificationof,modification of,f,0
injurys,injury,y,0
identifiedfrom,identified from,m,0
specifictraining,specific training,g,0
pathologys,pathology,y,0
sufficientto,sufficient to , ,0
findingis,finding is,s,0
aftereffects,after effects,s,0
silense,silence,e,0
magnetencephalography,magnet encephalography,y,0
divere,differe,e,0
evect,effect,,
nonsignificant,non significant,,
electrencephalogram,electroencephalogram,m,0
epub,e_pub,b,0
conflictof,conflict of,f,0
conflictsof,conflicts of,f,0
precize,precise,e,0
audiense,audience,e,0
findingof,finding of,f,0
reflecton,reflect on,n,0
firstto,first to , ,0
revize,revise,e,0
encorage,encourage,e,0
diseaserating,disease rating,g,0
mann_whitneyutest,mann_whitney_u_test,,
utest,u test,,
significantlyassociated,significantly associated,d,0
reflectedthe,reflected the,e,0
waitlist,wait list,,
definedin,defined in,n,0
benefitsfor,benefits for,r,0
difficultiesand,difficulties and,d,0
meyerassessment,meyer assessment,,
implicationsfor,implications for,r,0
conferense,conference,e,0
preferenses,preferences,s,0
firstand,first and,d,0
archivesof,archives of,f,0
quantificationof,quantification of,f,0
selfcare,self care,e,0
supervize,supervise,e,0
upandgo,up and go,o,0
timed_upandgo_test,timed_up_and_go_test,,
sdiseaseand,disease and,d,0
diseaseand,disease and,d,0
wereflect,we reflect,,
difficultfor,difficult for,r,0
significantlyhigher,significantly higher,r,0
refersto,refers to , ,0
saphasia,aphasia,a,0
significantlycorrelated,significantly correlated,d,0
officeof,office of,f,0
specificand,specific and,d,0
deficitsof,deficits of,f,0
ofthe,of the,e,0
ofthese,of these,e,0
modell,model,l,0
modells,models,s,0
chapell,chapel,l,0
aequal,equal,l,0
psychologicall,psychological,l,0
almirall,almiral,l,0
rachell,rachel,l,0
hansell,hansel,l,0
bracewell,bracewel,l,0
mariella,mariela,a,0
daniellson,danielson,n,0
harell,harel,l,0
daniell,daniel,l,0
criticall,critical,l,0
exercizes,exercises,s,0
exercize,exercise,e,0
vessell,vessel,l,0
towell,towel,l,0
sippell,sippel,l,0
travell,travel,l,0
bickell,bickel,l,0
lobello,lobelo,o,0
gravell,gravel,l,0
fischell,fischel,l,0
schueller,schueler,r,0
quaill,quail,l,0
intelectual,intellectual,l,0
donell,donel,l,0
hurrell,hurrel,l,0
ruddell,ruddel,l,0
barella,barela,a,0
ethell,ethel,l,0
recalof,recall of,f,0
recallof,recall of,f,0
marchall,marchal,l,0
nowells,nowels,s,0
andreae,andree,e,0
happell,happel,l,0
correllates,correlates,s,0
hamill,hamil,l,0
hanell,hanel,l,0
marcelle,marcele,e,0
fraenkel,frenkel,l,0
nevill,nevil,l,0
rosendall,rosendal,l,0
maetal,metal,l,0
castello,castelo,o,0
mogoll,mogol,l,0
fulfills,fulfils,s,0
aerror,error,r,0
generall,general,l,0
carvell,carvel,l,0
mcgill,mcgil,l,0
nadell,nadel,l,0
angele,angeloe,e,0
lawrense,lawrence,e,0
stilwell,stilwel,l,0
hagell,hagel,l,0
sthereal,the real,l,0
sthereall,the real,l,0
donnells,donnels,s,0
fulfill,fulfil,l,0
mentall,mental,l,0
donnells,donnels,s,0
marcella,marcela,a,0
wessells,wessels,s,0
withill,withil,l,0
ofcels,of cells,s,0
ofcells,of cells,s,0
existense,existence,e,0
thecall,the call,l,0
marcellis,marcelis,s,0
averill,averil,l,0
usuall,usual,l,0
electroluminescense,electroluminescence,e,0
aelectroluminescense,electroluminescence,e,0
merill,meril,l,0
fulfilsa,fulfils a,a,0
fulfillsa,fulfils a,a,0
intervall,interval,l,0
nicolls,nicols,s,0
shevell,shevel,l,0
powerfull,powerful,l,0
recal,recall,l,0
swalow,swallow,w,0
programm,program,m,0
programme,program,m,0
de_cit,deficit,,
dif_cul,difficul,l,0
di_cul,difficul,l,0
ef_cacy,efficacy,y,0
e_cacy,efficacy,y,0
ef_cacious,efficacious,s,0
e_cacious,efficacious,s,0
speci_,specifi,i,0
re_ect,reflect,,
co_ee,coffee,e,0
sensor_imotor,sensori_motor,r,0
con_den,confiden,n,0
classi_,classifi,i,0
identi_,identifi,i,0
suf_c,suffic,c,0
su_c,suffic,c,0
modi_,modifi,i,0
di_er,differ,r,0
e_ect,effect,,
ef_cien,efficien,n,0
e_cien,efficien,n,0
scienti_c,scientific,c,0
charact_eris_tic,characteristic,c,0
con_den,confiden,n,0
con_rm,confirm,m,0
con_ict,conflict,,
 re_ex , reflex , ,0
retro_ex ,retroflex , ,0
 ke_ex , keflex , ,0
circum_ex ,circumflex , ,0
 nor_ex , norflex , ,0
dorsi_ex ,dorsiflex , ,0
 re_ux , reflux , ,0
in_ux,influx,x,0
con_ux,conflux,x,0
af_ux,afflux,x,0
ef_ux,efflux,x,0
a_ux,afflux,x,0
e_ux,efflux,x,0
 out_ux , outflux , ,0
in_uen,influen,n,0
con_uen,confluen,n,0
af_uen,affluen,n,0
ef_uen,effluen,n,0
a_uen,affluen,n,0
e_uen,effluen,n,0
 out_t , outfit , ,0
 re_t , refit , ,0
retro_t,retrofit,,
 be_t , befit , ,0
 un_t , unfit , ,0
bene_t,benefit,,
bene_cial,beneficial,l,0
discom_t,discomfit,,
pro_t,profit,,
nonpro_t,non_profit,,
sof_t,soffit,,
 so_t , soffit , ,0
com_t,comfit,,
mis_t,misfit,,
con_t,confit,,
par_t,parfit,,
 over_t , overfit , ,0
 in_t , infit , ,0
 per_t, perfit,,
 photo_t , photofit , ,0
re_nd,refind,d,0
fore_nger,forefinger,r,0
whar_nger,wharfinger,r,0
pro_le,profile,e,0
sea_oor,seafloor,r,0
sub_oor,subfloor,r,0
under_oor,underfloor,r,0
modi_cation,modification,n,0
quali_,qualifi,i,0
veri_,verifi,i,0
car_dior_espiratory,cardio_respiratory,y,0
nonparetic,non_paretic,c,0
cerebrovasc,cerebro_vasc,c,0
noninvasive,non_invasive,e,0
doesn_t,does not,,
nonsignificant,non significant,,
staf_ng,staffing,g,0
sta_ng,staffing,g,0
brie_y,briefly,y,0
con_gur,configur,r,0
clari_,clarifi,i,0
 ful_l , fulfil , ,0
_ful_l ,_fulfil , ,0
 ful_l_, fulfil_,_,0
_ful_l_,_fulfil_,_,0
quanti_,quantifi,i,0
nonuse,non use,e,0
super_ne,superfine,e,0
hyper_ne,hyperfine,e,0
 con_ne, confine,e,0
 re_ne , refine , ,0
 de_ne , define , ,0
 de_ned , defined , ,0
 de_nes , defines , ,0
 de_ner , definer , ,0
 de_ners , definers , ,0
de_ning,defining,g,0
de_nition,definition,n,0
de_nitive,definitive,e,0
 prede_ne , predefine , ,0
 prede_ned , predefined , ,0
 prede_nes , predefines , ,0
 prede_ner , predefiner , ,0
 prede_ners , predefiners , ,0
prede_ning,predefining,g,0
prede_nition,predefinition,n,0
_re_ne ,_refine , ,0
_de_ne ,_define , ,0
_de_ned ,_defined , ,0
_de_nes ,_defines , ,0
_de_ner ,_definer , ,0
_de_ners ,_definers , ,0
de_ning,defining,g,0
de_nition,definition,n,0
de_nitive,definitive,e,0
_prede_ne ,_predefine , ,0
_prede_ned ,_predefined , ,0
_prede_nes ,_predefines , ,0
_prede_ner ,_predefiner , ,0
_prede_ners ,_predefiners , ,0
prede_ning,predefining,g,0
prede_nition,predefinition,n,0
 re_ne_, refine_,_,0
 de_ne_, define_,_,0
 de_ned_, defined_,_,0
 de_nes_, defines_,_,0
 de_ner_, definer_,_,0
 de_ners_, definers_,_,0
de_ning,defining,g,0
de_nition,definition,n,0
de_nitive,definitive,e,0
 prede_ne_, predefine_,_,0
 prede_ned_, predefined_,_,0
 prede_nes_, predefines_,_,0
 prede_ner_, predefiner_,_,0
 prede_ners_, predefiners_,_,0
prede_ning,predefining,g,0
prede_nition,predefinition,n,0
_re_ne_,_refine_,_,0
_de_ne_,_define_,_,0
_de_ned_,_defined_,_,0
_de_nes_,_defines_,_,0
_de_ner_,_definer_,_,0
_de_ners_,_definers_,_,0
de_ning,defining,g,0
de_nition,definition,n,0
de_nitive,definitive,e,0
_prede_ne_,_predefine_,_,0
_prede_ned_,_predefined_,_,0
_prede_nes_,_predefines_,_,0
_prede_ner_,_predefiner_,_,0
_prede_ners_,_predefiners_,_,0
prede_ning,predefining,g,0
prede_nition,predefinition,n,0
 af_ne, affine,e,0
 a_ne , affine , ,0
terbina_ne,terbinafine,e,0
ultra_ne,ultrafine,e,0
 para_ne, parafine,e,0
financy,nancy,y,0
 financy, nancy,y,0
_financy,_nancy,y,0
justi_,justifi,i,0
arti_c,artific,c,0
signiwcant,significant,,
appraize,appraise,e,0
grif_th,griffith,h,0
gri_th,griffith,h,0
e_ort,effort,,
isn_t,is not,,
 tting, fitting,g,0
pro_cien,proficien,n,0
certi_,certifi,i,0
de_cien,deficien,n,0
aftereffects,after_effects,s,0
con_cuss,concuss,s,0
super_cial,superficial,l,0
develop_ment,development,,
couldn_t,could not,,
wiling,willing,g,0
injuryrehab,injury_rehab,b,0
pathologistss,pathologists,s,0
you_ve,you have,e,0
you_ll,you will,l,0
you_re,you are,e,0
practize,practise,e,0
incidense,incidence,e,0
su_cient,sufficient,,
acknowledgment,acknowledgement,,
don_t,do not,,
af_x,affix,x,0
 a_x , affix , ,0
pre_x,prefix,x,0
in_x,infix,x,0
suf_x,suffix,x,0
su_x,suffix,x,0
post_x,postfix,x,0
un_x,unfix,x,0
trans_x,transfix,x,0
cruci_x,crucifix,x,0
speciwc,specific,c,0
violense,violence,e,0
o_er,offer,r,0
arize,arise,e,0
wasn_t,was not,,
enterprize,enterprise,e,0
multicol_linearity,multi_collinearity,y,0
grif_n,griffin,n,0
gri_n,griffin,n,0
wouldn_t,would_not,,
doesn_t,does_not,,
premize,premise,e,0
competenses,competencies,s,0
noncompliance,non compliance,e,0
ampli_,amplifi,i,0
k_nowledge,knowledge,e,0
nonverbal,non verbal,l,0
bizection,bisection,n,0
transferense,transference,e,0
rtranscranial,r trans_cranial,l,0
mconstraint,m constraint,,
absense,absence,e,0
prehabilitation,rehabilitation,n,0
re_habil,rehabil,l,0
feedba ,feedback , ,0
uni_,unifi,i,0
nonfluent,non fluent,,
nonneg,non neg,g,0
nonnorm,non norm,m,0
nonneur,non neur,r,0
nonnasal,non nasal,l,0
nonnest,non nest,,
nonnhs,non nhs,s,0
noize,noise,e,0
nonnoise,non noise,e,0
nonnucl,non nucl,l,0
nonnumber,non number,r,0
nonnurse,non nurse,e,0
cannot,can not,,
isn_t,is not,,
aren_t,are not,,
wasn_t,was not,,
weren_t,were not,,
haven_t,have not,,
hasn_t,has not,,
hadn_t,had not,,
won_t,will not,,
wouldn_t,would not,,
don_t,do not,,
doesn_t,does not,,
didn_t,did not,,
can_t,can not,,
couldn_t,could not,,
shouldn_t,should not,,
mightn_t,might not,,
mustn_t,must not,,
strati_,stratifi,i,0
bi_da,bifida,a,0
cognitirrelevant,cognit irrelevant,,
sociodemographic,socio_demographic,c,0
battle_eld,battlefield,d,0
air_eld,airfield,d,0
coal_eld,coalfield,d,0
oil_eld,oilfield,d,0
snow_eld,snowfield,d,0
corn_eld,cornfield,d,0
mine_eld,minefield,d,0
out_eld,outfield,d,0
in_eld,infield,d,0
down_eld,downfield,d,0
wheat_eld,wheatfield,d,0
up_eld,upfield,d,0
center_eld,centerfield,d,0
left_eld,leftfield,d,0
right_eld,rightfield,d,0
gold_eld,goldfield,d,0
hay_eld,hayfield,d,0
bloom_eld,bloomfield,d,0
mid_eld,midfield,d,0
back_eld,backfield,d,0
spring_eld,springfield,d,0
shef_eld,sheffield,d,0
she_eld ,sheffield , ,0
mans_eld,mansfield,d,0
gar_eld,garfield,d,0
butter_eld,butterfield,d,0
chester_eld,chesterfield,d,0
can_eld,canfield,d,0
bakers_eld,bakersfield,d,0
nuf_eld,nuffield,d,0
nu_eld,nuffield,d,0
pitts_eld,pittsfield,d,0
mase_eld,masefield,d,0
old_eld,oldfield,d,0
brick_eld,brickfield,d,0
a_eld,afield,d,0
green_eld,greenfield,d,0
wake_eld,wakefield,d,0
hat_eld,hatfield,d,0
fair_eld,fairfield,d,0
win_eld,winfield,d,0
white_eld,whitefield,d,0
whit_eld,whitfield,d,0
red_eld,redfield,d,0
en_eld,enfield,d,0
smith_eld,smithfield,d,0
lich_eld,lichfield,d,0
copper_eld,copperfield,d,0
war_eld,warfield,d,0
sub_eld,subfield,d,0
brown_eld,brownfield,d,0
beacons_eld,beaconsfield,d,0
hudders_eld,huddersfield,d,0
max_eld,maxfield,d,0
danger_eld,dangerfield,d,0
plain_eld,plainfield,d,0
rich_eld,richfield,d,0
maccles_eld,macclesfield,d,0
ice_eld,icefield,d,0
critch_eld,critchfield,d,0
pass_eld,passfield,d,0
cross_eld,crossfield,d,0
play_eld,playfield,d,0
urn_eld,urnfield,d,0
bean_eld,beanfield,d,0
ball_eld,ballfield,d,0
drain_eld,drainfield,d,0
stones_eld,stonesfield,d,0
home_eld,homefield,d,0
ful_ll,fulfill,l,0
 lling , filling , ,0
indimprovement_idual,individual_improvement,,
af_liat,affiliat,,
 a_liat , affiliat , ,0
fmagnetic_resonance_imaging,f_magnetic_resonance_imaging,g,0
wnding,finding,g,0
aftereffect,after effect,,
relatedmonstrated,demonstrated,d,0
immunode_ciency,immuno_deficiency,y,0
fuglmeyer,fugl_meyer,r,0
confidece,confidence,e,0
doesincludecategoriesintendedto,does include categories intended to , ,0
familliar,familiar,r,0
toally,totally,y,0
 ammation,flammation,n,0
_ammation,flammation,n,0
simpli_,simplifi,i,0
mtraumatic,m traumatic,c,0
pre_sent,present,,
me_nie_re,meniere,e,0
meni_re,meniere,e,0
re_port,report,,
re_action,reaction,n,0
re_quire,require,e,0
ce_re_b,cereb,b,0
re_f_er_en_c_e,reference,e,0
ref_er_en_c_e,reference,e,0
compre_hension,comprehension,n,0
omoneurexa,omo neurexa,a,0
neurelogical,neuro_logical,l,0
post_ictal,postictal,l,0
brainsonance,brain resonance,e,0
pre_vention,prevention,n,0
pre_liminary,preliminary,y,0
neuro_log,neurolog,g,0
inter_ven,interven,n,0
inter_val,interval,l,0
anti_cipat,anticipat,,
t_rauma,trauma,a,0
satisfac_tion,satisfaction,n,0
fac_tors,factors,s,0
volun_tary,voluntary,y,0
ferna_ndez,fernandez,z,0
practi_ce,practice,e,0
med_line,medline,e,0
cross_es,crosses,s,0
classi_er,classier,r,0
informa_tion,information,n,0
infor_mation,information,n,0
produc_tion,production,n,0
characteristic,characteristic,c,0
f_amily,family,y,0
acqui_sition,acquisition,n,0
occupa_tion,occupation,n,0
pati_ent,patient,,
thera_py,therapy,y,0
lap_top,laptop,p,0
plas_ticity,plasticity,y,0
meas_ures,measures,s,0
spas_ticity,spasticity,y,0
increas_ingly,increasingly,y,0
observa_tion,observation,n,0
improve_ment,improvement,,
previ_ous,previous,s,0
depart_ment,department,,
experi_ment,experiment,,
experi_men,experiment,,
environ_ment,environment,,
move_ment,movement,,
involve_ment,involvement,,
judg_ment,judgement,,
judge_ment,judgement,,
judgment,judgement,,
treat_ment,treatment,,
treatm_ent,treatment,,
impair_ment,impairment,,
instru_ment,instrument,,
assess_ment,assessment,,
manage_ment,management,,
imple_ment,implement,,
cle_ment,clement,,
popula_tion,population,n,0
tradeov,trade_off,f,0
trade_ov,trade_off,f,0
trade_offff,trade_off,f,0
depres_sion,depression,n,0
de_cision,decision,n,0
medica_tion,medication,n,0
applica_tion,application,n,0
implica_tion,implication,n,0
edu_cation,education,n,0
communi_cation,communication,n,0
rehabilita_tion,rehabilitation,n,0
rehabili_tation,rehabilitation,,
situ_ation,situation,n,0
clini_cal,clinical,l,0
ain_t,are not,,
relearnin_g,re_learning,g,0
parkin_son,parkinson,n,0
mini_mum,minimum,m,0
stimula_tion,stimulation,n,0
na_tional,national,l,0
instruc_tion,instruction,n,0
instruconal,instructional,l,0
instruc_onal,instruconal,l,0
organiza_tion,organization,n,0
direc_tion,direction,n,0
func_tion,function,n,0
ordina_tion,ordination,n,0
ques_tion,question,n,0
rela_tion,relation,n,0
preven_tion,prevention,n,0
par_ticipation,participation,n,0
combina_tion,combination,n,0
ac_tion,action,n,0
reten_tion,retention,n,0
posi_tive,positive,e,0
posi_tion,position,n,0
conversa_tion,conversation,n,0
dura_tion,duration,n,0
conven_tion,convention,n,0
limita_tion,limitation,n,0
atten_tion,attention,n,0
condi_tion,condition,n,0
demonstra_tion,demonstration,n,0
percep_tion,perception,n,0
activa_tion,activation,n,0
emo_tion,emotion,n,0
addi_ation,addiation,n,0
evalu_ation,evaluation,n,0
aspir_ation,aspiration,n,0
con_ning,conning,g,0
con_ation,conation,n,0
con_ned,conned,d,0
con_cuss,concuss,s,0
con_sult,consult,,
soni_cation,sonication,n,0
toxi_cation,toxication,n,0
uni_cation,unication,n,0
univer_sity,university,y,0
con_trol,control,l,0
con_tact,contact,,
con_duct,conduct,,
par_kinson,parkinson,n,0
knowl_edge,knowledge,e,0
kno_wn,known,n,0
hemorrhag_ic,hemorrhagic,c,0
abstr_act,abstract,,
mds_uparkinson,mds_u_parkinson,n,0
com_pute,compute,e,0
com_pensat,compensat,,
recommen_d,recommend,d,0
recom_mend,recommend,d,0
commu_nity,community,y,0
com_plex,complex,x,0
com_bined,combined,d,0
com_parison,comparison,n,0
com_pare,compare,e,0
com_plete,complete,e,0
com_mon,common,n,0
comprehen_sion,comprehension,n,0
com_unicat,comunicat,,
com_prize,comprize,e,0
compo_nent,component,,
cere_bral,cerebral,l,0
indi_vidual,individual,l,0
nega_tive,negative,e,0
ga_rtner,gartner,r,0
pette_d,petted,d,0
utvardering,evaluation,n,0
utva_rdering,evaluation,n,0
appro_priate,appropriate,e,0
relia_bility,reliability,y,0
movem_ent,movement,,
psychol_ogy,psychology,y,0
prob_ability,probability,y,0
prob_lem,problem,m,0
thera_pies,therapies,s,0
litera_ture,literature,e,0
thera_pist,therapist,,
